epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,42912.8,1.25119,0.74873,1.20969,0.91256,0.80623,0.88572,0.57421,1.28805,0.66212,1.21783,0.0043075,0.0043075,0.0043075
117,43303.3,1.25592,0.75303,1.21494,0.91135,0.80623,0.88568,0.5743,1.28798,0.65999,1.21737,0.004258,0.004258,0.004258
118,43682.9,1.25645,0.74471,1.21237,0.91057,0.80789,0.88669,0.57485,1.28753,0.66028,1.21755,0.0042085,0.0042085,0.0042085
119,44061,1.24949,0.74747,1.21074,0.90934,0.80899,0.88667,0.57487,1.28659,0.66005,1.21718,0.004159,0.004159,0.004159
120,44441.6,1.25042,0.74945,1.20761,0.91041,0.80901,0.88704,0.57516,1.28612,0.65981,1.21715,0.0041095,0.0041095,0.0041095
121,44819.7,1.25168,0.74838,1.20945,0.91181,0.80807,0.88754,0.5752,1.28521,0.66047,1.21694,0.00406,0.00406,0.00406
122,45198.7,1.25438,0.74814,1.21282,0.91107,0.80754,0.88728,0.57547,1.28483,0.65952,1.21631,0.0040105,0.0040105,0.0040105
123,45579.3,1.25062,0.74178,1.21039,0.9124,0.80833,0.88782,0.57526,1.28438,0.65965,1.21619,0.003961,0.003961,0.003961
124,45957.4,1.25381,0.74101,1.21047,0.91089,0.80845,0.88793,0.57524,1.2842,0.65908,1.21593,0.0039115,0.0039115,0.0039115
125,46337.9,1.24946,0.74553,1.20734,0.91345,0.80662,0.88852,0.5758,1.28323,0.65798,1.21536,0.003862,0.003862,0.003862
126,46716.3,1.2428,0.73733,1.20064,0.91619,0.8057,0.88923,0.57594,1.2823,0.65773,1.21525,0.0038125,0.0038125,0.0038125
127,47096.8,1.24659,0.73697,1.2039,0.91668,0.80662,0.88931,0.57632,1.28159,0.65667,1.21503,0.003763,0.003763,0.003763
128,47484.7,1.23893,0.7313,1.19944,0.91601,0.80649,0.8895,0.57645,1.28054,0.65656,1.21463,0.0037135,0.0037135,0.0037135
129,47874.2,1.25134,0.74605,1.20691,0.91668,0.80662,0.88996,0.57691,1.27898,0.65514,1.21367,0.003664,0.003664,0.003664
130,48263.9,1.24721,0.73202,1.20443,0.91632,0.80728,0.88983,0.57691,1.27856,0.65491,1.21365,0.0036145,0.0036145,0.0036145
131,48647.1,1.24838,0.73958,1.20996,0.91757,0.80722,0.89,0.57703,1.27737,0.65406,1.21312,0.003565,0.003565,0.003565
132,49028.2,1.23929,0.72794,1.20205,0.9133,0.80912,0.88948,0.57736,1.27723,0.65447,1.21324,0.0035155,0.0035155,0.0035155
133,49408.5,1.23795,0.73619,1.20276,0.91429,0.80938,0.88988,0.57758,1.27672,0.65303,1.21313,0.003466,0.003466,0.003466
