epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,35150.2,1.06125,0.56714,1.10312,0.94224,0.87336,0.93698,0.65829,1.10165,0.49048,1.12879,0.007558,0.007558,0.007558
76,35628,1.05913,0.56064,1.1053,0.94178,0.87388,0.9373,0.65912,1.10064,0.48966,1.12824,0.007525,0.007525,0.007525
77,36104.8,1.05703,0.56764,1.10101,0.94179,0.8736,0.93747,0.65986,1.09963,0.48872,1.12762,0.007492,0.007492,0.007492
78,36544.2,1.05978,0.56324,1.10163,0.94244,0.87296,0.9377,0.65984,1.09908,0.48784,1.12719,0.007459,0.007459,0.007459
79,37008.5,1.04922,0.55199,1.0989,0.94191,0.87334,0.9375,0.6601,1.09849,0.48707,1.12665,0.007426,0.007426,0.007426
80,37485.2,1.05297,0.55742,1.09771,0.94082,0.87428,0.93777,0.66066,1.0977,0.48613,1.12624,0.007393,0.007393,0.007393
81,37962.6,1.0459,0.55916,1.0953,0.93854,0.8769,0.93771,0.66092,1.09717,0.48535,1.12583,0.00736,0.00736,0.00736
82,38437.9,1.03967,0.55287,1.09504,0.94151,0.87554,0.93823,0.66153,1.0963,0.48498,1.12543,0.007327,0.007327,0.007327
83,38914.1,1.04194,0.55173,1.09447,0.9419,0.87599,0.938,0.66175,1.09509,0.48411,1.12496,0.007294,0.007294,0.007294
84,39319.3,1.04341,0.5521,1.09213,0.94228,0.87498,0.93812,0.6624,1.09399,0.48353,1.12454,0.007261,0.007261,0.007261
85,39796.1,1.04309,0.55197,1.09145,0.94176,0.87493,0.93778,0.66212,1.09351,0.48287,1.12438,0.007228,0.007228,0.007228
86,40273.1,1.03601,0.54697,1.08842,0.9379,0.87809,0.93793,0.66231,1.09241,0.48214,1.1236,0.007195,0.007195,0.007195
87,40750.8,1.03756,0.55424,1.09119,0.94258,0.87554,0.93825,0.663,1.0912,0.48111,1.12306,0.007162,0.007162,0.007162
88,41226.4,1.02932,0.54371,1.08569,0.94242,0.87513,0.93822,0.66386,1.09049,0.48034,1.12288,0.007129,0.007129,0.007129
89,41658.2,1.03374,0.55018,1.08715,0.94044,0.87796,0.93884,0.66406,1.08954,0.48058,1.12257,0.007096,0.007096,0.007096
90,42119.4,1.02553,0.54763,1.083,0.94187,0.87743,0.93906,0.6648,1.08924,0.47979,1.12248,0.007063,0.007063,0.007063
91,42596.3,1.03217,0.54266,1.0895,0.9427,0.8769,0.93892,0.66514,1.08841,0.47924,1.12202,0.00703,0.00703,0.00703
92,43071.9,1.0282,0.54357,1.08602,0.94389,0.87664,0.93923,0.6654,1.0872,0.47882,1.12152,0.006997,0.006997,0.006997
93,43549.9,1.02207,0.54205,1.08129,0.9386,0.88071,0.93907,0.66567,1.0863,0.4783,1.12119,0.006964,0.006964,0.006964
94,44026.4,1.02587,0.53861,1.08061,0.94021,0.88013,0.93922,0.66552,1.08497,0.47784,1.1206,0.006931,0.006931,0.006931
95,44435.1,1.02481,0.53822,1.08479,0.94018,0.88045,0.93941,0.666,1.0843,0.47719,1.12043,0.006898,0.006898,0.006898
96,44912.4,1.01575,0.53387,1.07912,0.93957,0.8815,0.9394,0.66645,1.08365,0.47648,1.11997,0.006865,0.006865,0.006865
97,45390.4,1.01528,0.538,1.07963,0.93912,0.88159,0.9393,0.66684,1.0832,0.47537,1.11983,0.006832,0.006832,0.006832
98,45868.9,1.02002,0.53719,1.08181,0.93926,0.88216,0.93924,0.66755,1.0824,0.47449,1.11961,0.006799,0.006799,0.006799
99,46347.6,1.01169,0.53254,1.07383,0.93927,0.88255,0.93956,0.66729,1.08178,0.47385,1.1192,0.006766,0.006766,0.006766
100,46782.8,1.02408,0.54244,1.08219,0.93896,0.88242,0.9397,0.66814,1.08177,0.47311,1.11938,0.006733,0.006733,0.006733
101,47251.1,1.00684,0.53198,1.07649,0.93889,0.88406,0.93953,0.6682,1.0814,0.47306,1.11935,0.0067,0.0067,0.0067
102,47726.3,1.00694,0.52954,1.07501,0.93957,0.88334,0.93945,0.66841,1.08116,0.47259,1.11928,0.006667,0.006667,0.006667
103,48203,1.00709,0.52512,1.07359,0.9408,0.88374,0.94001,0.66879,1.08066,0.47207,1.11927,0.006634,0.006634,0.006634
104,48684.2,1.00058,0.52799,1.07041,0.94082,0.8835,0.93995,0.66928,1.08055,0.47198,1.11927,0.006601,0.006601,0.006601
105,49160,1.00751,0.53075,1.0724,0.94108,0.88337,0.94022,0.66936,1.07973,0.47118,1.11878,0.006568,0.006568,0.006568
106,49563,1.00087,0.52682,1.06985,0.94083,0.88295,0.94058,0.6698,1.07923,0.47068,1.11855,0.006535,0.006535,0.006535
107,50041,1.00233,0.52769,1.07049,0.94053,0.88387,0.94071,0.67025,1.07873,0.47027,1.1184,0.006502,0.006502,0.006502
108,50516.9,0.99288,0.52068,1.06775,0.94259,0.8836,0.94092,0.67035,1.07872,0.46984,1.11823,0.006469,0.006469,0.006469
109,50993.6,0.99279,0.52003,1.06758,0.94501,0.88229,0.94113,0.67069,1.0786,0.46967,1.11822,0.006436,0.006436,0.006436
110,51472.7,0.99039,0.5205,1.06272,0.9455,0.88197,0.9409,0.67048,1.0784,0.46936,1.11809,0.006403,0.006403,0.006403
111,51912.8,0.99389,0.52292,1.06642,0.94581,0.88163,0.94072,0.67082,1.07789,0.46891,1.1176,0.00637,0.00637,0.00637
112,52367.6,0.98308,0.51386,1.06338,0.94335,0.88383,0.94061,0.67124,1.07719,0.46855,1.11714,0.006337,0.006337,0.006337
113,52846.6,0.98673,0.51564,1.06001,0.94371,0.884,0.94054,0.67158,1.07677,0.46818,1.11691,0.006304,0.006304,0.006304
114,53322.7,0.98107,0.51251,1.06149,0.94291,0.8852,0.9411,0.67187,1.07608,0.46726,1.11662,0.006271,0.006271,0.006271
115,53802.1,0.9853,0.51491,1.05976,0.94258,0.88631,0.94133,0.67193,1.07596,0.46686,1.11651,0.006238,0.006238,0.006238
116,54278.7,0.97713,0.51145,1.05823,0.94116,0.88925,0.94119,0.67249,1.07543,0.4663,1.11639,0.006205,0.006205,0.006205
117,54681.1,0.97796,0.51221,1.05889,0.94091,0.88904,0.9414,0.6727,1.07512,0.466,1.1164,0.006172,0.006172,0.006172
118,55157.4,0.97888,0.50684,1.05923,0.94078,0.889,0.94165,0.67304,1.07473,0.4652,1.11624,0.006139,0.006139,0.006139
119,55635.8,0.97977,0.51324,1.05735,0.94148,0.88773,0.9416,0.67315,1.07405,0.4645,1.11579,0.006106,0.006106,0.006106
120,56114.9,0.9713,0.50729,1.05628,0.94162,0.88783,0.9418,0.67355,1.0734,0.46391,1.11545,0.006073,0.006073,0.006073
121,56589.6,0.97077,0.50567,1.05423,0.94457,0.88644,0.94177,0.67407,1.07304,0.46348,1.11526,0.00604,0.00604,0.00604
122,57032.7,0.97293,0.50981,1.05728,0.94581,0.88514,0.9422,0.67419,1.07282,0.4629,1.11527,0.006007,0.006007,0.006007
123,57493.4,0.96971,0.50611,1.05314,0.94509,0.88628,0.94219,0.67414,1.07248,0.46225,1.11522,0.005974,0.005974,0.005974
124,57971.6,0.96644,0.50666,1.05073,0.94545,0.88689,0.94259,0.67436,1.07198,0.46154,1.11514,0.005941,0.005941,0.005941
125,58448.2,0.9608,0.49688,1.04966,0.94487,0.88719,0.94231,0.6743,1.07185,0.46144,1.11535,0.005908,0.005908,0.005908
126,58926.2,0.96761,0.50504,1.05307,0.94405,0.88807,0.94245,0.67437,1.07155,0.46053,1.1155,0.005875,0.005875,0.005875
127,59403.7,0.96762,0.5032,1.05118,0.94709,0.88571,0.94241,0.67455,1.07146,0.46023,1.11572,0.005842,0.005842,0.005842
128,59801.6,0.95789,0.49984,1.04865,0.94536,0.88728,0.94217,0.675,1.07086,0.45996,1.11519,0.005809,0.005809,0.005809
129,60278.1,0.95803,0.49656,1.04949,0.94709,0.88558,0.94209,0.67504,1.07031,0.45973,1.11525,0.005776,0.005776,0.005776
130,60753.2,0.95515,0.493,1.04635,0.94596,0.88623,0.94223,0.67548,1.06989,0.45913,1.11527,0.005743,0.005743,0.005743
131,61231.6,0.95417,0.50062,1.04889,0.94572,0.88728,0.9423,0.67562,1.0696,0.45905,1.11512,0.00571,0.00571,0.00571
132,61708.6,0.95055,0.49154,1.04312,0.94894,0.88413,0.94214,0.67568,1.0691,0.45897,1.11494,0.005677,0.005677,0.005677
133,62143.9,0.94517,0.49179,1.04264,0.94726,0.88488,0.94157,0.67613,1.06884,0.45844,1.11504,0.005644,0.005644,0.005644
134,62609.4,0.94697,0.49027,1.04266,0.94701,0.88512,0.94147,0.67612,1.06815,0.45788,1.11491,0.005611,0.005611,0.005611
135,63088,0.94736,0.49096,1.04126,0.94431,0.88879,0.94147,0.67613,1.06775,0.45781,1.11459,0.005578,0.005578,0.005578
136,63563.8,0.94946,0.49386,1.04417,0.94771,0.88531,0.94128,0.67601,1.06785,0.45763,1.11502,0.005545,0.005545,0.005545
